Number,Account number,Sort code,First Name,Last Name,Name,Fraud
88,45678901,218646,Ariana,Brooks,Ariana Brooks,Y
89,10987654,405435,Christian,Turner,Christian Turner,N
90,21098765,274259,Savannah,Phillips,Savannah Phillips,Y
91,76543210,540534,Isaiah,Adams,Isaiah Adams,Y
92,87654321,545375,Bella,Parker,Bella Parker,Y
93,98765432,221749,Nathan,Collins,Nathan Collins,Y
94,12345678,436998,Eli,Rogers,Eli Rogers,Y
95,23456789,490260,Aaliyah,Hayes,Aaliyah Hayes,Y
96,34567890,429364,Josiah,Powell,Josiah Powell,Y
97,56789012,649702,Clara,Foster,Clara Foster,Y
98,89012345,533042,Evan,Bennett,Evan Bennett,Y
99,54321098,509169,Naomi,Mitchell,Naomi Mitchell,Y
100,67890123,277247,Aaron,Ward,Aaron Ward,N
